"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"296694","0","EQUINOX CARE","Unit 1, Waterloo Gardens, Milner Square, LONDON","N1 1TY","Islington South and Finsbury","02036689270","enquiries@socialinterestgroup.org.uk","www.socialinterestgroup.org.uk","31/03/2024","7780000","7680000","Registered","Charitable company","Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Accommodation/housing","People With Disabilities, Other Defined Groups","Equinox works to help and support individuals with drink and/or substance misuse issues, mental health issues and those caught in the Criminal Justice system. We provide housing and/or support or counselling.","3. OBJECTS OF THE CHARITY 
3.1 THE OBJECTS OF THE CHARITY (THE ?OBJECTS?) ARE FOR THE PUBLIC BENEFIT:- 
3.1.1 TO ASSIST, RELIEVE AND REHABILITATE ANY PERSON WHO IS IN NEED BECAUSE OF ALCOHOL PROBLEMS, OTHER SUBSTANCE MISUSE PROBLEMS, MENTAL OR PHYSICAL HEALTH ISSUES, AGE, LEARNING DIFFICULTIES, AN INVOLVEMENT IN THE CRIMINAL JUSTICE SYSTEM OR A LACK OF APPROPRIATE HOUSING AND TO ASSIST AND RELIEVE SUCH PERSONS, FAMILY, DEPENDENTS AND OTHER CARERS WHO ARE IN NEED AS A RESULT OF THAT PERSON'S PROBLEMS; AND
 3.1.2 TO FURTHER SUCH OTHER EXCLUSIVELY CHARITABLE PURPOSES ACCORDING TO THE LAW OF ENGLAND AND WALES AS THE TRUSTEES IN THEIR ABSOLUTE DISCRETION FROM TIME TO TIME MAY DETERMINE."
"296717","0","STRINGER TRUST","DOROTHY STRINGER HIGH SCHOOL, LODER ROAD, BRIGHTON","BN1 6PZ","Brighton Pavilion","01273852222","AD-SXB@DOROTHY-STRINGER.CO.UK","","31/03/2024","12790","46852","Registered","Trust","Provides Buildings/facilities/open Space","Education/training","Children/young People","We provide outdoor educational facilities to young people to promote healthy and active lifestyles.","TO EDUCATE CHILDREN THROUGH OUTDOOR PURSUITS SO AS TO DEVELOP THEIR PHYSICAL AND MENTAL CAPACTIES."
"296787","0","BRIGHTON LITTLE THEATRE COMPANY","Brighton Little Theatre Co, 9 Clarence Gardens, BRIGHTON","BN1 2EG","Brighton Pavilion","01273777748","leigh.ward@brightonlittletheatre.com","www.brightonlittletheatre.com","31/08/2024","120730","82255","Registered","Charitable company","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Advocacy/advice/information","Education/training, Arts/culture/heritage/science","Children/young People, Elderly/old People, The General Public/mankind","We provide facilities and the premises through which people of all age groups can learn about and take part in theatre productions. Training in ""back stage"" work, sets and costumes is included.","TO PROMOTE MAINTAIN AND IMPROVE AND ADVANCE EDUCATION FOR THE BENEFIT OF THE PUBLIC PARTICULARLY DRAMATIC EDUCATION AND FOSTER THE PUBLIC INTEREST IN ARTS INCLUDING THE ARTS OF DANCE MUSIC AND MIME AND TO FORMULATE PREPARE AND ESTABLISH SCHEMES THEREFORE PROVIDED THAT ALL OBJECTS OF THE COMPANY SHALL BE OF A CHARITABLE NATURE."
"297807","0","THE SUSSEX STROKE AND CIRCULATION FUND","Room LG7 St Marys Hall, ROYAL SUSSEX COUNTY HOSPITAL, EASTERN ROAD BRIGHTON","BN2 5BE","Brighton Kemptown and Peacehaven","01273696955","office@sscfund.org","www.sscfund.org","31/10/2024","7674","37141","Registered","Trust","Provides Other Finance, Provides Human Resources, Provides Advocacy/advice/information","The Advancement Of Health Or Saving Of Lives","The General Public/mankind","Providing equipment and people to help with the diagnosis and treatment of vascular disease.Producing helpful information leaflets for people with vascular disease and those about to undergo amputation","TO RELIEVE THE PATIENTS SUFFERING FROM CEREBRAL AND PERIPHERAL VASCULAR DISEASE BY PROVISION OF EQUIPMENT AND FACILITIES AND GRANTS OF MONEY TOWARDS ASSOCIATED SALARY COSTS FOR TECHNICAL STAFF AT THE ROYAL SUSSEX COUNTY HOSPITAL BRIGHTON AND ASSOCIATED HOSPITALS THE FUNDING OF WHICH WOULD NOT OTHERWISE BE PROVIDED BY THE AUTHORITY CHARGED WITH THE RESPONSIBILITY OF MANAGING THE SAID HOSPITALS"
"298038","0","JOHN CAREWE BRIGHTON ORCHESTRA TRUST","12 WEST DRIVE, BRIGHTON","BN2 0GD","Brighton Kemptown and Peacehaven","01273680907","skeane1448@aol.com","","31/03/2024","341","5000","Registered","Other","Makes Grants To Organisations","Arts/culture/heritage/science","Other Charities Or Voluntary Bodies, The General Public/mankind","RAISING FUNDS FOR THE SUPPORT OF THE BRIGHTON PHILHARMONIC ORCHESTRA","THE PROMOTION OF ORCHESTRAL MUSIC IN BRIGHTON AND HOVE AND THEIR ENVIRONS."
"305826","0","BRIGHTON & HOVE DISTRICT SCOUT COUNCIL","66 OVERHILL DRIVE, BRIGHTON","BN1 8WJ","Brighton Pavilion","01273 501852","enquiries@brightonandhovescouts.org.uk","www.brightonandhovescouts.org.uk","31/12/2023","105914","97833","Registered","Trust","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services","Education/training","Children/young People","The aim of Brighton & Hove Scout District, as part of the Scout Association, is to actively engage and support young people in their personal development, empowering them to make a positive contribution to society.","BRIGHTON BOY SCOUTS ASSOCIATION"
"305827","0","15TH BRIGHTON BOY SCOUT GROUP","36 MEADOWVIEW, BRIGHTON","BN2 4NE","Brighton Kemptown and Peacehaven","01273267156","","http://www.15thbrighton.org.uk","31/03/2024","9272","8131","Registered","Other","Provides Services","Education/training","Children/young People","THE PURPOSE OF SCOUTING IS TO CONTRIBUTE TO THE DEVELOPMENT OF YOUNG PEOPLE IN ACHIEVING THEIR FULL PHYSICAL, INTELLECTUAL, SOCIAL AND SPIRITUAL POTENTIALS, AS INDIVIDUALS, AS RESPONSIBLE CITIZENS AND AS MEMBERS OF THEIR LOCAL, NATIONAL AND INTERNATIONAL COMMUNITIES. THE 15TH BRIGHTON SCOUT GROUP DOES THIS BY PROVIDING A BALANCED PROGRAMME OF ACTIVITIES FOR ITS MEMBERS.","TO PROMOTE THE DEVELOPMENT OF YOUNG PEOPLE IN ACHIEVING THEIR FULL PHYSICAL, INTELLECTUAL, SOCIAL AND SPIRITUAL POTENTIALS, AS INDIVIDUALS, AS RESPONSIBLE CITIZENS AND AS MEMBERS OF THEIR LOCAL, NATIONAL AND INTERNATIONAL COMMUNITIES."
"305829","0","42ND BRIGHTON (SALTDEAN) SCOUT GROUP","Scout Association, Scout Hut, 92 Longridge Avenue, Saltdean, BRIGHTON","","","00000 000000","","","31/08/2024","13840","10529","Registered","Other","Provides Human Resources, Provides Buildings/facilities/open Space","General Charitable Purposes, Amateur Sport","Children/young People","Scouting activities for children aged 6-18 years. Weekly meetings, hiking and camping. Visits to places of interest.","42ND BRIGHTON BOY SCOUT GROUP"
"305830","0","44TH BRIGHTON SCOUT GROUP","44th Brighton Scout Group, 21 Old London Road, BRIGHTON","BN1 8XR","Brighton Pavilion","07977501703","mike@creativesilicon.com","www.44thbrightonscouts.org.uk","31/08/2024","20720","12465","Registered","Trust","Provides Services","Education/training","Children/young People","Scout Group.","44TH BRIGHTON SCOUT GROUP"
"305860","0","3RD HOVE (ST LEONARD'S) SCOUT GROUP","3rd Hove Scout Hall - Rear of Church Hall, Glebe Villas, Hove","BN3 5SL","Hove and Portslade","07715762318","treasurer.3rdhove@outlook.com","http://3rdhovestleonardsscoutgroup.scoutsites.org.uk/","31/03/2024","19900","23823","Registered","Other","Provides Human Resources, Provides Buildings/facilities/open Space","Education/training, Amateur Sport, Economic/community Development/employment","Children/young People, People With Disabilities","Scout group","TO PROMOTE, EXTEND AND FURTHER THE AIMS OF THE SCOUTING ASSOCIATION TO YOUNG PEOPLE BETWEEN THE AGES OF 6 YEARS AND 20 YEARS"
"305905","0","1ST SHOREHAM-BY-SEA (KINGSTON BUCI) SCOUT GROUP","313 UPPER SHOREHAM ROAD, SHOREHAM-BY-SEA","BN43 5QB","East Worthing and Shoreham","01273960196","","1stshorehamscouts.co.uk","31/12/2024","30528","26112","Registered","Other","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services","Education/training, Amateur Sport","Children/young People","Promotion of the development of young people in achieving their full physical, intellectual, social and spiritual potential as individuals, as responsible citizens and as members of their community. Character building activities, outdoor activities (e.g camping, rock climbing, travel, swimming, sport) team building, environmental and civic awareness.","UNIT OF THE SCOUT ASSOCIATION"
"305978","0","VISCOUNTESS WOLSELEYS BEQUEST","Brighton & Hove City Council, Democratic Services, Room 167, Hove Town Hall","Norton R","","01273296963","sally.mcmahon@brighton-hove.gov.uk","http://www.citylibraries.info","31/03/2024","12399","4179","Registered","Trust","Other Charitable Activities","Education/training, Arts/culture/heritage/science","The General Public/mankind","The Housing, Care and maintenance of the Wolseley collection. The provision and arrangement in the wolseley room, or elsewhere of lectures, talks etc on subjects of argiculture and horticulture, garden design, history of places and lands in sussex and the history of old agricultural customs. Purchase of books, letters, maps etc and other objects of interest to be added to the wolseley collection.","1) THE HOUSING, CARE AND MAINTENANCE OF THE WOLSEY COLLECTION OF BOOKPLATES, NOTEBOOKS, PLANS, ENGRAVINGS, BOOKS AND PERSONAL ITEMS OF THE WOLSELEY FAMILY, TOGETHER WITH THE FIELD MARSHALL VISCOUNT WOLSELEY COLLECTION OF AUTOGRAPH LETTERS, IN A ROOM OR ROOMS AT THE HOVE PUBLIC LIBRARY, TO BE KNOWN AS VISCOUNTESS WOLSELEY'S ROOM OR ROOMS.           2) THE PROVISION AND ARRANGEMENT IN THE WOLSELEY ROOM, OR ELSEWHERE IF THE CORPORATION SHALL SO THINK FIT, OF LECTURES, TALKS, DISCUSSIONS AND CLASSES ON OR CONCERNING SUBJECTS OR TOPICS WHICH, IN THE OPINION OF THE CORPORATION ARE WITHIN THE SCOPE OF THE WOLSELEY COLLECTION OR ON MATTERS THERE IN COMPRISED AND DEALT WITH AND ALSO ON THE SUBJECTS OF AGRICULTURE AND HORTICULTURE (SPECIFICALLY INCLUDING COMMERCIAL AND MARKET GARDENING) GARDEN DESIGN, THE PAST HISTORY OF PLACES AND LANDS IN THE COUNTY OF SUSSEX AND THE ORIGIN AND HISTORY OF OLD AGRICULTURAL CUSTOMS, USAGES AND PRACTICES IN THE SAID COUNTY.                              3) THE ACQUISITION BY PURCHASE OR OTHERWISE OF ANY BOOKS, BOOKPLATES, LETTERS, MANUSCRIPTS, DOCUMENTS, MAPS, PLANS, DIAGRAMS, SKETCHES, PICTURES, PRINTS, ENGRAVINGS, PHOTOGRAPHS, REPRODUCTIONS, DRAWINGS AND OTHER OBJECTS OF INTEREST OF ANY NATURE OR KIND TO BE ADDED TO THE WOLSELEY COLLECTION."
"306084","0","NAUTICAL TRAINING CORPS","72 Wick Farm Road, Wick, Littlehampton, West Sussex","BN17 7HG","Bognor Regis and Littlehampton","0300 124 6645","NATSEC@NTC.ORG.UK","www.ntc.org.uk","30/04/2024","63784","230920","Registered","Other","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Acts As An Umbrella Or Resource Body","Education/training, Amateur Sport, Recreation","Children/young People, People With Disabilities","The charity's objectives are to promote the development of young persons in achieving their full physical, intellectual, social and spiritual potential, particularly by educating such persons in all aspects of the history and practice of seamanship and seafaring.","TO PROMOTE THE DEVELOPMENT OF YOUNG PERSONS IN ACHIEVING THEIR FULL PHYSICAL, INTELLECTUAL, SOCIAL AND SPIRITUAL POTENTIAL, PARTICULARLY BY EDUCATING SUCH PERSONS IN ALL ASPECTS OF THE HISTORY AND PRACTICE OF SEAMANSHIP AND SEAFARING."
"306371","0","THE INSTITUTE OF DEVELOPMENT STUDIES","INSTITUTE OF DEVELOPMENT STUDIES, UNIVERSITY OF SUSSEX, FALMER, BRIGHTON, EAST SUSSEX","BN1 9RE","Brighton Pavilion","01273606261","ids@ids.ac.uk","www.ids.ac.uk","31/03/2024","26261000","29778000","Registered","Charitable company","Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research","Education/training, The Prevention Or Relief Of Poverty, Human Rights/religious Or Racial Harmony/equality Or Diversity","Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","The Institute of Development Studies is a leading global institution for development research, teaching and learning, and impact and communications, based at the University of Sussex.  IDS hosts numerous research clusters and postgraduate courses and a host of web-based knowledge services.","THE OBJECTS FOR WHICH THE INSTITUTE IS ESTABLISHED ARE THE ADVANCEMENT OF EDUCATION AND LEARNING IN DEVELOPMENT AND PROMOTING BEST PRACTICE IN DEVELOPMENT FOR THE BENEFIT OF THE PUBLIC BY:-

(A)     THE CONDUCT, PUBLICATION AND DISSEMINATION OF RESEARCH; 

(B)     TEACHING AND TRAINING;

(C)     ASSISTING GOVERNMENTS AND OTHER POLICY MAKERS AND PRACTITIONERS BY PROVIDING EDUCATION, KNOWLEDGE, RESOURCES AND INFORMATION TO FACILITATE THE GROWTH OF LOCAL, NATIONAL AND INTERNATIONAL CAPACITY IN DEVELOPMENT;

""DEVELOPMENT"" MEANS SOCIAL, ECONOMIC AND POLITICAL CHANGE WHICH HELPS TO ERADICATE POVERTY AND SOCIAL INJUSTICE."
"307061","0","BRIGHTON COLLEGE","EASTERN ROAD, BRIGHTON","BN2 0AL","Brighton Kemptown and Peacehaven","01273704200","","www.brightoncollege.net","31/07/2024","74110534","64200639","Registered","Charitable company","Makes Grants To Individuals, Provides Buildings/facilities/open Space, Provides Services, Other Charitable Activities","Education/training","Children/young People","Provision of a first class independent education for children between the ages of 3 to 18.  Subject to donations and budgetary limits, scholarship awards are made on the basis of the individual's educational potential and bursary awards are made to enable academically able children to benefit where financial hardship might otherwise preclude.","TO PROVIDE A SOUND RELIGIOUS, CLASSICAL, MATHEMATICAL AND GENERAL EDUCATION, IN CONFORMITY WITH THE DOCTRINES OF THE CHURCH OF ENGLAND."
"307063","0","ROEDEAN SCHOOL","ROEDEAN SCHOOL, ROEDEAN WAY, BRIGHTON","BN2 5RQ","Brighton Kemptown and Peacehaven","01273667512","bursar@roedean.co.uk","www.roedean.co.uk","31/08/2023","22035000","20424000","Registered","Other","Makes Grants To Individuals, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services","Education/training","Children/young People","Independent day and boarding school for girls aged 11 to 18.","A BOARDING SCHOOL FOR GIRLS."
"307066","0","HAMILTON LODGE (BRIGHTON)","Hamilton Lodge School, 7-9 Walpole Road, Brighton","BN2 0LS","Brighton Kemptown and Peacehaven","01273682362","mark.brunet@hamiltonlsc.co.uk","www.hamiltonlsc.co.uk","31/07/2024","2901658","3155085","Registered","Charitable company","Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research","Education/training","Children/young People, People With Disabilities","The aims of the Charity are to advance the education and development of deaf children and young people, to promote their establishment in life, to support their integration into the community and to assist them in growing to full maturity as individuals and members of society. The aims of the Charity are carried out through the activities of Hamilton Lodge School and College.","TO ADVANCE THE EDUCATION AND DEVELOPMENT OF DEAF CHILDREN AND YOUNG PEOPLE, TO PROMOTE THEIR ESTABLISHMENT IN LIFE, TO SUPPORT THEIR INTEGRATION INTO THE COMMUNITY AND TO ASSIST THEM IN GROWING TO FULL MATURITY AS INDIVIDUALS AND MEMBERS OF SOCIETY"
"308162","0","BRIGHTON UNIT 55 OF THE SEA CADET CORPS","13 SOUTHDOWN ROAD, SOUTHWICK, BRIGHTON","BN42 4FT","East Worthing and Shoreham","01273 620572","ian@lawreny.net","https://www.sea-cadets.org/brighton","31/03/2025","23343","23025","Registered","Other","Provides Human Resources, Provides Buildings/facilities/open Space","Education/training, Amateur Sport","Children/young People","A youth Charity Branch of the Marine Society and Sea Cadets offering adventurous training and activities developing young people for 10-18 in self relaiance and team work based on the customs and traditions of the Navy","The charitable purpose of the Unit (the Purpose) is to promote the development of young people in achieving their physical, intellectual and social potential as individuals and as responsible citizens by the provision of education and leisure time activities using a nautical theme and in accordance with the principles, ethos and practices of the Marine Society & Sea Cadets (MSSC)."
"308230","0","17TH HOVE (ST HELENS) SCOUT GROUP","176 Mile Oak Road, Portslade, BRIGHTON","BN41 2PL","Hove and Portslade","01273700771","17thhoveinfo@gmail.com","17thovescouts.org.uk","31/03/2024","10590","11169","Registered","Other","Provides Human Resources, Provides Buildings/facilities/open Space","Education/training, Amateur Sport","Children/young People","Scouting Activities","INSTRUCTION OF BOYS OF ALL CLASSES IN THE PRINCIPLES OF DISCIPLINE, LOYALTY AND GOOD CITIZENSHIP."
"325071","0","FONTHILL FOUNDATION","PO Box 261, Lewes","BN7 9LS","Lewes","07479921400","enquiry@fonthill-foundation.org.uk","www.fonthill-foundation.org.uk","31/08/2024","153098","824753","Registered","Charitable company","Makes Grants To Organisations","Education/training","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","Charity established in September 2011 for the furtherance of education","TO PROMOTE AND ADVANCE EDUCATION AS THE BOARD OF TRUSTEES SHALL DETERMINE."
"327347","0","UNION DANCE TRUST LIMITED","Top Floor Charing Cross Library, 6 Charing Cross Road, Westminster, London, United Kingdom","WC2H 0HF","Cities of London and Westminster","07976557415","corrine@uniondance.co.uk","www.uniondance.co.uk","31/03/2024","70995","68024","Registered","Charitable company","Provides Services, Sponsors Or Undertakes Research, Other Charitable Activities","Education/training, Arts/culture/heritage/science","Children/young People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","Union Dance delivers high quality dance experiences and extends the boundaries of dance by creating memorable, collaborative projects. The Company creates  dance through the arts and digital as a tool to train young people develop confidence and skills in self-expression and creativity, extending the boundaries of contemporary dance practice and nurturing emerging young dancers and choreographers.","TO ADVANCE PUBLIC EDUCATION BY ENCOURAGING THE UNDERSTANDING APPRECIATION AND DEVELOPMENT OF THE ART OF DANCE ANYWHERE IN THE UNITED KINGDOM BY PROVIDING PRESENTING PRODUCING ORGANISING MANAGING AND CONDUCTING PERFORMANCES OF ALL FORMS OF DANCE."
"800080","0","THE COMMUNITY OF THE SACRED PASSION","Flat 52, Claridge House, 14 Church Street, LITTLEHAMPTON, West Sussex","BN17 5FE","Bognor Regis and Littlehampton","01273883448","","","31/12/2024","83878","358274","Registered","Trust","Provides Human Resources","The Prevention Or Relief Of Poverty, Religious Activities","The General Public/mankind","Relief of PovertyReligious activities","TO PAY OVER APPLY OR DISPOSE OF THE SAME OR ANY PART OR PARTS THEREOF TO SUCH PERSON OR PERSONS OR TO SUCH INSTITUTION OR INSTITUTIONS HAVING EXCLUSIVELY CHARITABLE OBJECTS IN SUCH MANNER AND FOR SUCH EXCLUSIVELY CHARITABLE OBJECTS AS THE TRUSTEES SHALL IN THEIR ABSOLUTE DISCRETION DETERMINE FOR THE PUBLIC BENEFIT.
IN PARTICULAR, BUT WITHOUT LIMITATION ON THE GENERALITY OF THE FOREGOING, THE TRUSTEES SHALL HOLD THE TRUST FUND UPON TRUST AS TO BOTH INCOME AND CAPITAL TO MANAGE THE SAME IN SUCH MANNER AND TO PAY OVER APPLY OR DISPOSE OF THE SAME OR ANY PART OR PARTS THEREOF TO ADVANCE THE RELIGIOUS AND OTHER CHARITABLE WORK OF THE COMMUNITY OF THE SACRED PASSION FOR THE PUBLIC BENEFIT BY THE PROVISION OF CHARITABLE GRANTS TO SUPPORT THE COMMUNITY, THE SISTERS OF THE COMMUNITY AND ITS WORK AS A CHARITABLE RELIGIOUS ORDER."
"800143","0","ARTSWORK LIMITED","142-144 Above Bar Street, Southampton","SO14 7DU","Southampton Itchen","02380332733","sarah@artswork.org.uk","www.artswork.org.uk","31/03/2024","1930291","1631638","Registered","Charitable company","Provides Human Resources, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body","Education/training, Arts/culture/heritage/science","Children/young People, Other Charities Or Voluntary Bodies","The objects of the charity are to promote, maintain, improve and advance public education, appreciation and understanding of Youth Arts.  The charitable company continues to explore new ways of improving provision for young people in creative activities.","THE OBJECTS ARE TO PROMOTE, MAINTAIN, IMPROVE AND ADVANCE PUBLIC EDUCATION, APPRECIATION AND UNDERSTANDING OF YOUTH ARTS."
"800987","0","BRIGHTON Y M C A","Brighton Ymca, 55 Old Steine, BRIGHTON","BN1 1NX","Brighton Pavilion","01273220900","elaine.madden@brightonymca.co.uk","http://www.ymcabrighton.co.uk","31/03/2024","6279118","5759431","Registered","Charitable company","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services","Accommodation/housing","People With Disabilities, Other Defined Groups","Provision of housing and support for vulnerable single homeless people.","TO UNITE THOSE WHO, REGARDING JESUS CHRIST AS THEIR AND SAVIOUR ACCORDING TO THE HOLY SCRIPTURES, DESIRE TO BE HIS DISCIPLES IN THEIR LIFE, AND TO ASSOCIATE THEIR EFFORTS FOR THE EXTENSION OF HIS KINGDOM. (FOR DETAILS SEE CLAUSE 3 OF MEMORANDUM OF ASSOCIATION)AND TO PROVIDE IMPROVE AND MANAGE HOUSES OR HOSTELS PROVIDING RESIDENTIAL ACCOMMODATION FOR VULNERABLE MEN AND WOMEN OF ALL AGES WHO ARE IN CONDITIONS OF NEED HARDSHIP DISTRESS UPON TERMS APPROPRIATE TO THEIR MEANS."
"801586","0","WOODINGDEAN SCHOOL PARENT, TEACHERS AND FRIENDS ASSOCIATION","WOODINGDEAN PRIMARY SCHOOL, WARREN ROAD, BRIGHTON","BN2 6BB","Brighton Kemptown and Peacehaven","01273680811","","https://woodingdeanptfa.wordpress.com/","31/07/2024","14124","11007","Registered","Other","Makes Grants To Organisations, Provides Human Resources","Education/training","Children/young People","Fund raising activities are run by the PTFA in order to generate income which is used to supply Woodingdean Primary School with equipment and facilities. Donations are also made towards school trips.","TO ADVANCE THE EDUCATION OF THE PUPILS OF THE SCHOOL."
"802036","0","Brighton Waldorf School Limited","Brighton Steiner School, Roedean Road, Brighton","BN2 5RA","Brighton Kemptown and Peacehaven","01273386300","enquiries@brightonwaldorfschool.org","www.brightonswaldorfschool.org","31/08/2022","982836","1069385","Registered","Charitable company","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services","Education/training","Children/young People","To advance the education of children in accordance with the educational principles of the late Dr. Rudolf Steiner. Principally to achieve this by the establishment, development and maintenance of a school and associated activities; by the promotion and assistance with the training of teachers, and various sundry other activities.","TO ADVANCE THE EDUCATION OF CHILDREN IN ACCORDANCE WITH EDUCATIONAL PRINCIPLES OF THE LATE DR RUDOLF STEINER."
"802145","0","THE MARTLETS HOSPICE LIMITED","The Martlets Hospice, Wayfield Avenue, HOVE","BN3 7LW","Hove and Portslade","01273273400","enquiries@martlets.org.uk","www.themartlets.org.uk","31/03/2024","14116883","13548564","Registered","Charitable company","Provides Services","The Advancement Of Health Or Saving Of Lives","The General Public/mankind","Martlets provides the very best care and support to terminally ill people in Brighton and Hove, and surrounding areas. Most people receive expert care from us in their own homes. Outpatients visit our hospice for pain relief and practical advice, and we also have an 18-bed inpatient unit.","TO PROMOTE THE RELIEF OF SICKNESS BY ESTABLISHING MAINTAINING AND CONDUCTING A DAY CENTRE OR RESIDENTIAL HOME FOR THE RECEPTION AND CARE OF PERSONS OR EITHER SEX WHO ARE SUFFERING FROM ANY CHRONIC OR TERMINAL ILLNESS."
"802559","0","JEWISH CARE","JEWISH CARE, 221 GOLDERS GREEN ROAD, LONDON","NW11 9DQ","Finchley and Golders Green","02089222000","info@jcare.org","www.jewishcare.org","31/03/2024","73334000","67837000","Registered","Charitable company","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","Disability, The Prevention Or Relief Of Poverty, Accommodation/housing","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin","Jewish Care cares for people in the Jewish community. We give care & support to older people,Holocaust survivors,people with physical & sensory disabilities & with mental health needs. We offer support groups,run leadership & activity programmes for young people. Our staff & volunteers support thousands of people a week. Everything is guided by our Jewish values, warmth,kindness,honesty & respect.","TO PROMOTE THE FOLLOWING CHARITABLE PURPOSES FOR THE BENEFIT OF PERSONS OF THE JEWISH FAITH (WHEREVER RESIDENT BUT IN PARTICULAR THOSE RESIDENT IN THE UNITED KINGDOM)
1. THE RELIEF OF POVERTY, HARDSHIP AND DISTRESS; 2.THE RELIEF OF THE AGED; 3. THE RELIEF OF THE SICK AND THOSE SUFFERING FROM EITHER PHYSICAL OR MENTAL IMPAIRMENT; 4.THE PROTECTION OF HEALTH; 5. THE ADVANCEMENT OF EDUCATION; AND 6.THE PROVISION, IN THE INTEREST OF SOCIAL WELFARE OF FACILITIES FOR RECREATION AND OTHER LEISURE TIME OCCUPATION OF YOUNG PEOPLE."
"802682","0","THE OUTLOOK FOUNDATION","Outlook Foundation, 74 Redhill Drive, BRIGHTON","BN1 5FL","Brighton Pavilion","01273555252","rmew@outlookfoundation.co.uk","www.outlookfoundation.co.uk","31/03/2024","1415759","1389019","Registered","Charitable company","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","Education/training, Disability, Accommodation/housing","People With Disabilities","The principal activities of the charity are; to deliver person-centred care, education and training in life skills, that promote social inclusion and community interaction, whilst providing a safe and comfortable home environment, for adults with learning disabilities aged 18+.","THE PROMOTION OF CARE, TREATMENT AND EDUCATION OF PERSONS WHO ARE MILDLY AND MODERATELY MENTALLY HANDICAPPED AND WHO ARE THUS IN NEED OF HELP AND CARE IN ADULT LIFE BY THE PROVISION OF TRAINING SHELTERED ACCOMMODATION AND WORK OPPORTUNITIES."
"802715","0","PALEY TRUST","61, Hertford Road, Brighton","BN1 7GG","Brighton Pavilion","01273 500439","PaleyTrust@outlook.com","","31/12/2023","11870","14315","Registered","Other","Makes Grants To Organisations, Provides Other Finance","General Charitable Purposes","Elderly/old People","To provide support to older people in Brighton and Hove by working closely with Brighton City Council and other organisations.","ASSISTING AGE CONCERN (BRIGHTON) IN ANY MANNER WHICH THE TRUSTEES THINK FIT IN THEIR ABSOLUTE DISCRETION."
"803033","0","CURSILLOS IN CHRISTIANITY IN ENGLAND AND WALES","Higher pimbo farmhouse, 19 Pimbo Lane, Upholland, Lancashire","WN8 9QJ","West Lancashire","07947271037","jennymaguire50@gmail.com","www.cursillouk.org","31/12/2024","19561","14364","Registered","Other","Provides Services","General Charitable Purposes, Education/training, Religious Activities","The General Public/mankind","Cursillo is a movement for Christian renewal. It is a Catholic movement to form leaders who grow through prayer, study & action to evangelise others for Christ.","THE ASSOCIATION IS ESTABLISHED FOR THE ADVANCEMENT OF THE CHRISTIAN RELIGION WITH THE CONSENT OF THE ROMAN CATHOLIC BISHOPS OF ENGLAND AND WALES."
"803147","0","ROTARY CLUB OF BRIGHTON CHARITABLE TRUST","191 Ditchling Rise, Brighton","BN1 4QR","Brighton Pavilion","01273690927","admin@rotarybrighton.com.","www.rotarybrighton.com","30/06/2024","14518","9878","Registered","Trust","Makes Grants To Organisations","General Charitable Purposes","The General Public/mankind","We provide assistance to those who are in need, whether young, middle aged or senior, locally,nationally and internationally dependant on their situation and our funds available.","THE RELIEF OF THE POOR AND NEEDY OR SUCH OTHER CHARITABLE PURPOSE INSTITUTION SOCIETY OR OBJECT AS THE ROTARY CLUB OF BRIGHTON SHALL FROM TIME TO TIME DIRECT."
